Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005634~nucleus	345	60.10452961672473	4.511551249708832E-57	68510, 21423, 110147, 68750, 12395, 67788, 240087, 72333, 67302, 270058, 664883, 17283, 229603, 109151, 56534, 225131, 68070, 228880, 272359, 12953, 216766, 224829, 20588, 22404, 20586, 66106, 20462, 72344, 237222, 16882, 331401, 72584, 71375, 18140, 22761, 209456, 72462, 225115, 228866, 20469, 11518, 56784, 17978, 237339, 233532, 104027, 52864, 13498, 18029, 68760, 108989, 170791, 19687, 21401, 57080, 104360, 66356, 207165, 240869, 17260, 21408, 223642, 29806, 21406, 83925, 228536, 116904, 21888, 20677, 21887, 233208, 12812, 56436, 227699, 69181, 59026, 81630, 223770, 110809, 28036, 13345, 68094, 12014, 14312, 235626, 29819, 238330, 21411, 53609, 18483, 93966, 208263, 208146, 27632, 21417, 194401, 193796, 78455, 22184, 56200, 51796, 12144, 53975, 381801, 11733, 218977, 69642, 70998, 20410, 209361, 71722, 12593, 22278, 20658, 381280, 83946, 116848, 12914, 230753, 56215, 83396, 14897, 231600, 110611, 268448, 17257, 68564, 17258, 21872, 17130, 21750, 108673, 214162, 12361, 74203, 109880, 22289, 56469, 17938, 22282, 54169, 245474, 17937, 225280, 18432, 71988, 18676, 17345, 15161, 21849, 118449, 21847, 338359, 11800, 57321, 52679, 231861, 381979, 19647, 101568, 66395, 19654, 19656, 67134, 74108, 17350, 217333, 109620, 75796, 59079, 14082, 20402, 229543, 117599, 13433, 14886, 380993, 225182, 13557, 432572, 71889, 217588, 50709, 14056, 21386, 233033, 16475, 21385, 22594, 228911, 238161, 75560, 66618, 101706, 13649, 11906, 57908, 192195, 16599, 17688, 69562, 320595, 67382, 104416, 22129, 20742, 70567, 21399, 17692, 20185, 17210, 215051, 11909, 243529, 56381, 20184, 107932, 56702, 67154, 12448, 17216, 269582, 217127, 68379, 15361, 14270, 668501, 22696, 67967, 74132, 109095, 68938, 55982, 11569, 54650, 27223, 225432, 228140, 234135, 15248, 245000, 192173, 19724, 100710, 232875, 328977, 226747, 68703, 20602, 22589, 100043597, 16907, 16906, 16905, 227720, 77521, 56045, 229584, 102103, 234366, 50505, 223828, 17762, 19386, 66656, 14013, 109115, 235134, 68837, 70470, 70472, 223701, 11789, 80288, 13605, 20807, 110593, 13047, 216848, 216724, 230119, 16319, 68153, 13722, 101867, 70247, 21357, 224903, 67997, 16201, 20384, 11790, 20020, 67996, 20383, 74164, 74042, 63958, 13859, 54563, 56501, 20382, 108829, 101994, 18986, 170472, 69131, 50768, 66432, 19249, 18032, 233890, 212391, 12173, 18034, 68732, 239510, 270110, 81702, 98386, 20591, 107823, 75956, 233765, 70925, 232679, 69714, 68988, 21453, 30948, 239985, 72567, 19014, 19377, 19134, 67897, 207259, 117198, 14924, 229700, 78656, 18969, 233871, 30951, 216877	545	6019	19662	2.0678828968206187	2.2106601123573274E-54	2.2106601123573274E-54	1.9489901398742154E-54
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	166	28.9198606271777	5.5900635460105147E-42	21423, 71889, 110147, 68750, 12395, 240087, 14056, 69207, 16475, 67302, 17283, 78286, 225131, 27360, 360013, 101706, 11906, 272359, 57908, 192195, 17688, 12953, 108857, 69562, 216766, 104416, 20588, 21399, 17210, 20185, 72584, 18140, 11909, 228866, 56381, 74081, 11518, 17978, 52864, 107932, 13498, 17216, 170791, 269582, 217127, 19687, 14270, 57080, 109135, 234023, 207165, 17260, 74376, 67967, 83925, 228536, 109095, 68938, 20677, 55982, 54650, 12812, 56436, 69181, 59026, 223770, 28036, 110809, 228140, 15248, 245000, 68094, 19724, 100710, 21411, 235461, 238330, 53609, 93966, 18483, 226747, 27632, 21417, 20602, 194401, 16906, 16905, 56045, 56200, 229584, 51796, 12144, 234366, 223828, 70998, 12593, 14013, 109115, 235134, 70470, 68837, 22278, 70472, 20658, 116848, 223701, 230753, 12914, 56215, 80288, 329540, 14897, 216848, 13047, 268448, 17258, 224903, 21750, 16201, 214162, 244895, 20020, 67996, 22288, 22289, 56501, 22282, 245474, 101994, 18986, 15161, 18034, 21849, 20239, 11800, 57321, 54214, 67480, 231861, 381979, 19647, 70925, 105782, 17356, 67134, 69714, 17350, 239985, 72567, 19014, 19377, 67897, 19134, 59079, 99100, 14924, 229700, 78656, 665775, 13433, 18969, 14886, 225182, 30951, 216877, 13557	545	1935	19662	3.09498328710618	2.7391311375451522E-39	1.3695655687725761E-39	1.2074537259382711E-39
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	151	26.306620209059233	9.100225273139955E-33	21423, 68750, 12395, 67788, 14056, 21386, 233033, 16475, 21385, 17283, 228911, 109151, 225131, 11906, 272359, 57908, 192195, 16599, 12953, 67382, 320595, 235041, 224829, 20588, 20586, 21399, 17692, 20185, 71375, 18140, 22761, 11909, 56381, 17978, 20184, 237339, 107932, 18029, 170791, 217127, 68016, 19687, 21401, 57080, 668501, 207165, 17260, 21408, 22696, 29806, 21406, 83925, 228536, 109095, 21888, 21887, 20677, 55982, 11569, 54650, 27223, 81630, 13345, 15248, 234135, 68094, 14312, 12014, 19724, 232875, 235626, 328977, 21411, 226747, 27632, 68703, 21417, 20602, 22589, 193796, 56200, 234366, 223828, 70998, 209361, 71722, 12593, 66656, 14013, 235134, 70470, 68837, 22278, 70472, 20658, 116848, 223701, 230753, 12914, 80288, 20807, 83396, 13047, 230119, 68153, 101867, 268448, 17257, 17258, 224903, 17130, 16201, 214162, 20384, 20020, 74164, 74042, 56501, 56469, 22282, 17938, 54169, 108829, 213109, 17937, 18986, 225280, 18432, 18676, 18032, 233890, 212391, 12173, 18034, 21849, 270110, 319713, 21847, 57321, 20591, 52679, 107823, 69714, 72567, 19014, 78656, 13433, 14886, 380993, 30951, 13557	520	1885	18082	2.785535604978576	2.00659967272736E-29	2.005689650200046E-29	1.9856691545991382E-29
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	308	53.65853658536586	2.0311098866666597E-28	21423, 68750, 12395, 72333, 270058, 217980, 69847, 17283, 229603, 26558, 109151, 244329, 56534, 68070, 228880, 24131, 59006, 17967, 12953, 13800, 108857, 216766, 192232, 235041, 245666, 66106, 237222, 72584, 22761, 209456, 225115, 14904, 74081, 11519, 78798, 11518, 54126, 56784, 17978, 104027, 16765, 52864, 13498, 68760, 108989, 76816, 12490, 19687, 57080, 23947, 109135, 207165, 17260, 29806, 21406, 245877, 20677, 56436, 12933, 12934, 75991, 69181, 59026, 110809, 28036, 13345, 545389, 12014, 14312, 20324, 29819, 18483, 104015, 29810, 21417, 194401, 12704, 11735, 193796, 212514, 12144, 53975, 18008, 381801, 11733, 218977, 218756, 20410, 75767, 381280, 116848, 12914, 56699, 56215, 230872, 329540, 17929, 56697, 83396, 14897, 17925, 83397, 110611, 93742, 17257, 65970, 68564, 17258, 21872, 17130, 21750, 214162, 14783, 12361, 65973, 74203, 26401, 22288, 109880, 26404, 17938, 226251, 225288, 233335, 18432, 18676, 17345, 15161, 208177, 243819, 67804, 319713, 118449, 338359, 11800, 226841, 57321, 27387, 234214, 12695, 231861, 381979, 19647, 13427, 101568, 66395, 17356, 67134, 74108, 68585, 217333, 109620, 20649, 20648, 59079, 14082, 20402, 208618, 170772, 117599, 13433, 14886, 380993, 17118, 13557, 71889, 217588, 14056, 233033, 16475, 22352, 225523, 238161, 227399, 27360, 360013, 101706, 13649, 56376, 11906, 228361, 57908, 192195, 17688, 69562, 104416, 22129, 20742, 19876, 20185, 17210, 100041194, 227937, 11909, 208643, 16800, 107932, 67154, 17216, 269582, 217127, 52906, 68016, 216831, 26936, 14270, 109658, 19286, 72750, 74132, 68938, 27223, 329165, 225432, 27103, 76568, 228140, 15248, 229473, 192173, 213435, 216963, 12660, 226747, 26941, 22589, 16906, 16905, 77521, 229584, 102103, 111173, 105732, 14725, 223828, 17762, 66656, 14013, 13043, 70470, 268739, 223701, 11789, 74270, 14936, 13605, 58234, 20807, 24056, 13047, 216848, 216724, 269152, 16319, 68153, 13722, 101867, 21357, 66661, 67997, 244895, 16201, 20384, 20383, 74164, 63958, 268291, 78514, 231672, 14388, 101994, 14026, 237898, 170472, 50768, 16328, 66432, 74737, 19249, 19248, 70497, 12173, 18034, 68732, 68617, 270110, 81702, 20239, 98386, 54214, 13829, 20591, 233765, 105782, 69714, 21453, 329908, 30948, 239985, 72567, 19377, 99100, 117198, 14924, 18969, 233871, 17755, 216877	545	6631	19662	1.6757254983888574	9.952438444666632E-26	3.3174794815555447E-26	2.92479823679999E-26
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	156	27.177700348432055	2.4846281142236215E-26	21423, 68750, 12395, 67788, 14056, 21386, 233033, 16475, 21385, 17283, 228911, 109151, 225131, 228880, 11906, 272359, 57908, 192195, 16599, 12953, 67382, 235041, 224829, 20588, 20586, 21399, 17692, 20185, 71375, 18140, 22761, 11909, 56381, 56784, 17978, 20184, 237339, 107932, 18029, 170791, 217127, 68016, 19687, 15361, 21401, 104360, 57080, 668501, 207165, 17260, 21408, 22696, 29806, 74132, 21406, 83925, 228536, 109095, 21888, 21887, 20677, 55982, 11569, 54650, 27223, 81630, 13345, 15248, 234135, 68094, 14312, 12014, 19724, 235626, 328977, 21411, 226747, 208146, 27632, 68703, 21417, 20602, 22589, 193796, 234366, 223828, 70998, 209361, 71722, 12593, 66656, 14013, 235134, 70470, 68837, 22278, 70472, 20658, 116848, 223701, 230753, 12914, 80288, 20807, 83396, 110593, 216848, 13047, 230119, 68153, 101867, 72306, 268448, 17257, 17258, 224903, 17130, 16201, 214162, 20384, 74164, 56501, 56469, 22282, 17938, 54169, 108829, 17937, 18986, 225280, 18432, 18676, 15161, 18032, 233890, 212391, 12173, 18034, 239510, 21849, 270110, 21847, 57321, 20591, 52679, 107823, 70925, 69714, 72567, 19014, 78656, 13433, 14886, 380993, 30951, 13557	520	2279	18082	2.3802544975866606	5.478604991863086E-23	2.738060181874431E-23	2.710729272617971E-23
GOTERM_MF_DIRECT	GO:0003677~DNA binding	137	23.86759581881533	8.7497666926575E-25	21423, 68750, 50709, 12395, 21386, 21385, 270058, 17283, 228911, 229603, 75560, 109151, 230793, 11906, 192195, 16599, 17688, 12953, 224829, 20588, 21399, 17692, 16882, 20185, 71375, 18140, 22761, 11909, 243529, 56381, 107932, 18029, 56702, 17216, 269582, 19687, 15361, 21401, 104360, 57080, 668501, 240869, 17260, 21408, 223642, 22696, 21769, 74132, 21406, 83925, 20677, 11569, 27223, 59026, 81630, 13345, 15248, 245000, 68094, 12014, 19724, 100710, 328977, 21411, 226747, 68703, 21417, 20602, 22589, 100043597, 229584, 51796, 12144, 53975, 50505, 70998, 71722, 66656, 14013, 109115, 235134, 68837, 22278, 20658, 381280, 116848, 12914, 20807, 83396, 110593, 216848, 13047, 230119, 68153, 17257, 17258, 224903, 20662, 17130, 21750, 16201, 214162, 20020, 74164, 56501, 56469, 22282, 17938, 54169, 18986, 170472, 18432, 17345, 18032, 233890, 212391, 12173, 18034, 21849, 21847, 98386, 338359, 57321, 20591, 52679, 107823, 69714, 239985, 72567, 19014, 665775, 13433, 18969, 14886, 380993, 225182, 13557	518	1847	17446	2.4981572956667706	4.882369814502885E-22	4.882369814502885E-22	4.4361317131773525E-22
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	96	16.72473867595819	2.071217103892008E-21	223828, 70998, 50709, 69207, 233033, 67302, 217980, 664883, 20658, 56215, 230753, 56699, 360013, 237943, 216848, 108857, 69562, 68153, 216766, 101867, 20742, 110611, 68564, 17257, 224903, 66661, 108673, 16201, 20462, 72344, 20384, 67996, 20383, 20020, 74203, 208643, 215051, 72462, 243529, 74164, 330474, 56381, 14904, 11518, 20382, 245474, 108989, 381626, 67154, 170791, 18432, 17345, 21961, 233890, 66356, 74213, 68617, 21849, 81702, 20239, 109095, 338359, 98386, 11800, 59026, 225432, 227331, 226562, 28036, 110809, 234214, 75956, 19647, 66395, 19654, 21411, 29819, 67134, 68585, 74108, 21453, 68988, 72567, 109620, 19134, 27632, 74383, 20402, 78455, 229700, 56200, 117599, 233871, 51796, 239217, 216877	518	1113	17446	2.9049735141379345	1.1557391439717405E-18	5.778695719858702E-19	5.25053535836624E-19
GOTERM_MF_DIRECT	GO:0003682~chromatin binding	58	10.104529616724738	4.558650225993326E-20	21423, 71722, 14056, 16475, 17283, 70472, 228911, 75560, 225131, 12914, 13649, 228880, 20807, 192195, 13047, 17688, 67382, 320595, 104416, 20588, 268448, 17257, 20586, 224903, 17258, 17130, 214162, 20185, 11909, 22289, 74042, 17978, 18986, 108989, 268515, 15361, 15161, 18034, 21849, 17260, 81702, 83925, 228536, 21888, 13345, 107823, 68094, 231861, 14312, 19656, 17350, 19014, 27632, 68703, 21417, 20602, 22589, 13433	518	466	17446	4.1918736639766685	2.543726826104276E-17	6.449522709439503E-18	5.860050203738043E-18
GOTERM_MF_DIRECT	GO:0005515~protein binding	214	37.282229965156795	4.623313770207529E-20	21423, 110147, 12395, 664883, 17283, 229603, 26558, 24131, 17967, 12953, 13800, 20588, 22404, 20586, 245666, 20462, 16882, 331401, 18140, 22761, 72462, 54126, 56784, 17978, 237339, 16765, 13498, 68760, 108989, 76816, 170791, 17260, 29806, 21406, 83925, 21888, 21887, 12812, 12934, 227331, 13345, 68094, 12014, 21411, 104015, 208263, 29810, 21417, 12704, 11735, 78455, 56200, 12144, 53975, 18008, 20410, 71722, 20658, 116848, 12914, 230753, 56699, 230872, 56332, 237943, 83396, 231600, 93742, 17257, 65970, 20662, 17258, 21872, 17130, 21750, 214162, 14783, 12361, 65973, 74203, 26401, 22288, 109880, 22289, 243725, 56469, 245474, 233335, 18432, 15161, 21849, 118449, 22138, 57321, 12695, 381979, 19656, 17356, 74108, 68585, 109620, 20649, 20648, 59079, 14082, 208618, 170772, 13433, 14886, 239217, 13557, 217588, 50709, 14056, 233033, 16475, 21385, 22352, 20616, 225523, 228911, 238161, 75560, 13649, 56376, 228361, 104416, 26390, 22129, 20742, 59091, 19876, 21399, 20185, 17210, 333789, 11909, 208643, 243529, 56381, 12328, 16800, 107932, 56702, 67154, 52906, 14270, 19286, 74132, 68938, 55982, 27223, 27103, 76568, 245000, 216963, 20168, 67299, 75599, 68703, 26941, 20602, 22589, 16905, 12549, 111173, 14725, 50505, 17762, 19386, 14013, 13043, 223701, 11789, 14936, 13605, 58234, 20807, 216848, 216724, 269152, 68153, 70247, 21357, 224903, 20384, 20020, 67996, 74164, 63958, 77300, 20382, 231672, 14388, 14026, 18986, 19249, 19248, 12296, 54216, 232679, 105782, 19132, 30948, 72567, 19014, 228607, 99100, 207259, 117198, 14924, 229700, 30951, 17755	518	4092	17446	1.761344293602358	2.579809083775801E-17	6.449522709439503E-18	5.860050203738043E-18
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	70	12.195121951219512	1.1460669745640132E-18	21423, 69642, 20410, 110147, 209361, 68750, 71722, 50709, 14056, 21386, 21385, 16475, 17283, 229603, 12914, 11906, 83396, 272359, 13047, 12953, 235041, 268448, 17257, 20586, 17258, 20185, 18140, 22761, 11909, 74164, 56381, 56469, 17978, 107932, 13498, 18029, 108989, 67154, 19687, 15161, 212391, 18032, 18034, 207165, 21849, 270110, 21408, 17260, 83925, 21888, 11569, 28036, 13345, 20591, 15248, 52679, 107823, 68094, 12014, 238330, 19014, 208146, 27632, 21417, 20602, 229700, 13433, 234366, 53975, 30951	520	729	18082	3.3389785797193205	2.527077678913649E-15	8.41977203979695E-16	8.335727128328924E-16
