ENTREZID,SYMBOL
20588,Smarcc1
15361,Hmga1
67488,Calcoco1
21423,Tcf3
93762,Smarca5
17257,Mecp2
20586,Smarca4
17258,Mef2a
16476,Jun
14013,Mecom
214384,Myocd
20848,Stat3
21804,Tgfb1i1
17260,Mef2c
22278,Usf1
22762,Zfpm2
21869,Nkx2-1
21406,Tcf12
12914,Crebbp
56501,Elf4
56469,Pias1
22282,Usf2
20807,Srf
13557,E2f3
57080,Gtf2ird1
71722,Cic
12395,Runx1t1
21385,Tbx2
14011,Etv6
27223,Trp53bp1
13345,Twist2
320790,Chd7
20185,Ncor1
20020,Polr2a
11909,Atf2
68703,Rere
22026,Nr2c2
20602,Ncor2
13433,Dnmt1
14886,Gtf2i
17979,Ncoa3
17936,Nab1
107932,Chd4
30951,Cbx8
52906,Ahi1
228607,Mavs
20410,Sorbs3
13498,Atn1
30877,Gnl3
