node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress
Hoxb8,1,0,1,1,2.033,1,0.2,215.7,3.91022,0,0
Noto,2,0,1,2,5.587,1,0.2,248.2,4.28638,0.43647,64
Irf8,23,0.25546,13,17,28.942,1,0.25,285.58333,4.6192,26.45025,1586
Nr3c2,690,0.30824,63,79,84.485,6,0.25,336.25,4.9257,2553.88738,96022
Nkx6-3,3,0,1,3,4.747,1,0.2,238.7,4.17492,0.75895,50
Cdx2,14,0.38896,5,18,32.104,1,0.2,266.61667,4.44427,93.49933,4784
Cux1,3,0,1,3,5.777,1,0.2,235.53333,4.16099,0.54866,44
Tp73,1,0,1,3,3.266,3,0.25,221.08333,3.99071,308.96156,18732
Cux2,4,0,1,6,1.315,2,0.2,191.25,3.50619,1300.3109,253004
Tp53,1,0,1,2,1.036,1,0.16667,146.75,2.50774,0,0
Lin54,4,0.30512,16,20,33.019,1,0.25,281.91667,4.56502,51.01812,3122
Rest,8,0.30898,3,7,12.816,1,0.2,255.7,4.35139,5.82931,292
Znf528,3,0,1,3,8.55,1,0.2,253.61667,4.34056,0.5199,62
Znf382,1,0,1,1,3.085,1,0.2,222.7,4.01858,0,0
Znf140,1,0,1,1,3.677,1,0.2,218.95,3.9644,0,0
Nfkb1,160,0.49806,33,37,56.98,2,0.33333,307.16667,4.75542,657.66916,27810
Hes7,2,0,1,3,7.27,1,0.2,224.11667,4.02941,0.20074,28
Hes5,18,0.43905,7,7,16.3,1,0.2,262.78333,4.42415,2.52104,130
Gsx1,2,1.84672,2,4,9.409,1,0.2,270.28333,4.5031,3.69818,646
Uncx,2,0,1,5,10.704,1,0.2,249.45,4.28638,4.61746,304
Nobox,21,0.34102,16,18,38.198,2,0.2,298.95,4.73065,82.83224,4786
Hoxa13,0,0.30898,3,3,7.098,1,0.2,259.36667,4.39164,0.09829,14
E2f8,17,0.23755,11,16,22.932,1,0.2,296.2,4.71517,192.35162,5674
E2f2,19,0.40723,11,28,52.925,2,0.25,284.16667,4.59443,184.96892,10408
Gmeb2,9,0.37893,4,10,13.75,2,0.2,252.11667,4.31269,128.21223,3848
Mybl2,45,0.2634,26,33,52.489,1,0.25,301.75,4.72291,172.18409,10428
Rfx5,2,0,1,4,6.81,1,0.2,224.45,4.03406,0.9078,80
Pax1,29,0.52927,14,26,32.807,1,0.2,293.03333,4.65789,475.03263,24206
Foxq1,7,0.2842,4,5,10.192,1,0.2,264.95,4.44427,4.5172,252
Hesx1,3,0.46346,3,4,7.037,1,0.2,262.95,4.42879,4.88324,294
Arx,30,0.41666,14,18,33.426,1,0.2,301.86667,4.7678,36.79493,2902
Alx4,4,0.77244,3,5,8.435,1,0.2,244.2,4.24768,2.02367,152
Pax7,23,0.39487,16,28,43.604,1,0.2,286.45,4.60372,236.9374,19496
Lhx2,64,0.41136,18,21,38.654,1,0.2,295.95,4.70124,47.95578,2466
Dlx5,2,0,1,2,4.576,1,0.2,234.86667,4.14861,0.47092,64
Hoxd10,5,0.25931,5,6,14.277,1,0.2,281.11667,4.59752,8.68643,818
Hoxb9,5,0.25931,5,6,13.457,1,0.2,281.11667,4.59752,8.68643,818
Cdx4,6,0.30898,3,5,12.191,1,0.2,264.78333,4.44737,4.39652,386
Hoxc12,2,0.30898,3,5,10.162,1,0.2,270.53333,4.5,6.59996,596
Hoxc10,5,0.25931,5,6,13.903,1,0.2,281.11667,4.59752,8.68643,818
Cdx1,3,0,1,3,6.176,1,0.2,245.86667,4.27245,1.68677,152
Hoxc9,5,0.25931,5,6,12.973,1,0.2,281.11667,4.59752,8.68643,818
Barx2,1080,0.20347,84,113,102.488,25,0.25,351.08333,4.98607,8884.91102,258610
Tcf7l1,306,0.36612,41,44,54.592,4,0.25,324.91667,4.89474,761.93861,27212
Hoxa7,2,0,1,2,2.72,1,0.2,237.28333,4.17337,3.41143,276
Hoxb5,1,0,1,2,5.68,1,0.16667,222.61667,3.99381,0,0
Evx2,4,0.30898,3,3,6.755,1,0.2,249.61667,4.30186,0.55836,70
Evx1,3,0.30779,2,4,9.105,1,0.2,247.36667,4.28019,1.68461,180
Emx2,4,0.56839,4,11,17.002,1,0.2,274.61667,4.52786,103.93267,2852
Dlx6,4,0.30779,2,5,10.364,1,0.2,271.36667,4.50464,13.52813,1270
Dlx4,5,0.30898,3,6,9.252,1,0.2,275.7,4.5418,19.76205,1724
Lhx6,41,0.23943,10,29,23.551,1,0.2,290.45,4.6161,827.14682,13386
Lbx1,13,0.36588,7,10,17.766,1,0.2,286.2,4.63313,117.57551,3120
