V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
Calcoco1	Ahr	10090.ENSMUSP00000112137	10090.ENSMUSP00000023818	0	0	0	0	0	0.538	0	0	0.538
Crebbp	Arnt	10090.ENSMUSP00000099810	10090.ENSMUSP00000023165	0	0	0	0	0	0.447	0	0	0.447
Calcoco1	Arnt	10090.ENSMUSP00000099810	10090.ENSMUSP00000023818	0	0	0	0	0	0.552	0	0	0.552
Trp53bp1	Atf3	10090.ENSMUSP00000027941	10090.ENSMUSP00000106278	0	0	0	0	0	0.427	0	0	0.426
Runx1t1	Atoh1	10090.ENSMUSP00000098903	10090.ENSMUSP00000006761	0	0	0	0	0	0.587	0	0	0.587
Ncor1	Bach1	10090.ENSMUSP00000026703	10090.ENSMUSP00000068974	0	0	0	0	0	0.537	0	0	0.537
Crebbp	Creb1	10090.ENSMUSP00000140112	10090.ENSMUSP00000023165	0	0	0	0	0	0.984	0	0	0.984
Mecp2	Creb1	10090.ENSMUSP00000140112	10090.ENSMUSP00000033770	0	0	0	0	0	0.54	0	0	0.54
Smarca4	Creb1	10090.ENSMUSP00000140112	10090.ENSMUSP00000034707	0	0	0	0	0	0.501	0	0	0.501
Crebbp	Hif1a	10090.ENSMUSP00000023165	10090.ENSMUSP00000021530	0	0	0	0	0	0.971	0	0	0.971
Crebbp	Nfe2	10090.ENSMUSP00000023165	10090.ENSMUSP00000122476	0	0	0	0	0	0.487	0	0	0.487
Crebbp	Mitf	10090.ENSMUSP00000023165	10090.ENSMUSP00000044938	0	0	0	0	0	0.548	0	0	0.548
Crebbp	Wt1	10090.ENSMUSP00000023165	10090.ENSMUSP00000117891	0	0	0	0	0	0.577	0	0	0.577
Crebbp	Ets1	10090.ENSMUSP00000023165	10090.ENSMUSP00000034534	0	0	0	0	0	0.552	0	0	0.552
Crebbp	Mef2c	10090.ENSMUSP00000023165	10090.ENSMUSP00000132547	0	0	0	0	0	0.697	0	0	0.697
Crebbp	Nfe2l2	10090.ENSMUSP00000023165	10090.ENSMUSP00000099733	0	0	0	0	0	0.562	0	0	0.562
Crebbp	Mef2a	10090.ENSMUSP00000023165	10090.ENSMUSP00000117496	0	0	0	0	0	0.769	0	0	0.769
Crebbp	Crem	10090.ENSMUSP00000023165	10090.ENSMUSP00000121233	0	0	0	0	0	0.693	0	0	0.693
Crebbp	Tcf7l1	10090.ENSMUSP00000023165	10090.ENSMUSP00000109687	0	0	0	0	0	0.444	0	0	0.444
Crebbp	Stat1	10090.ENSMUSP00000023165	10090.ENSMUSP00000066743	0	0	0	0	0	0.812	0	0	0.812
Crebbp	Tcf3	10090.ENSMUSP00000023165	10090.ENSMUSP00000100979	0	0	0	0	0	0.755	0	0	0.755
Crebbp	Tcf4	10090.ENSMUSP00000023165	10090.ENSMUSP00000110636	0	0	0	0	0	0.971	0	0	0.971
Crebbp	Tcf12	10090.ENSMUSP00000023165	10090.ENSMUSP00000139365	0	0	0	0	0	0.971	0	0	0.971
Ncor2	Esrra	10090.ENSMUSP00000025906	10090.ENSMUSP00000107033	0	0	0	0	0	0.645	0	0	0.645
Ncor1	Esrra	10090.ENSMUSP00000025906	10090.ENSMUSP00000068974	0	0	0	0	0	0.645	0	0	0.645
Ncor1	Esrrg	10090.ENSMUSP00000027906	10090.ENSMUSP00000068974	0	0	0	0	0	0.709	0	0	0.709
Ncor2	Esrrg	10090.ENSMUSP00000027906	10090.ENSMUSP00000107033	0	0	0	0	0	0.97	0	0	0.97
Smarca4	Gata4	10090.ENSMUSP00000066927	10090.ENSMUSP00000034707	0	0	0	0	0	0.574	0	0	0.574
Zfpm2	Gata4	10090.ENSMUSP00000066927	10090.ENSMUSP00000051335	0	0	0	0	0	0.552	0	0	0.552
Pias1	Gli2	10090.ENSMUSP00000054837	10090.ENSMUSP00000096248	0	0	0	0	0	0.497	0	0	0.497
Smarca4	Ikzf1	10090.ENSMUSP00000018798	10090.ENSMUSP00000034707	0	0	0	0	0	0.564	0	0	0.564
Ncor1	Jun	10090.ENSMUSP00000102711	10090.ENSMUSP00000068974	0	0	0	0	0	0.518	0	0	0.518
Smarca4	Klf4	10090.ENSMUSP00000103245	10090.ENSMUSP00000034707	0	0	0	0	0	0.575	0	0	0.575
Ncoa3	Nr5a2	10090.ENSMUSP00000085416	10090.ENSMUSP00000027649	0	0	0	0	0	0.442	0	0	0.442
Ncor1	Tfap4	10090.ENSMUSP00000068974	10090.ENSMUSP00000005862	0	0	0	0	0	0.479	0	0	0.479
Ncor1	Thrb	10090.ENSMUSP00000068974	10090.ENSMUSP00000022304	0	0	0	0	0	0.688	0	0	0.688
Ncor1	Nfkb1	10090.ENSMUSP00000068974	10090.ENSMUSP00000029812	0	0	0	0	0	0.541	0	0	0.541
Ncor1	Zbtb7c	10090.ENSMUSP00000068974	10090.ENSMUSP00000057856	0	0	0	0	0	0.574	0	0	0.574
Ncor1	Rarb	10090.ENSMUSP00000068974	10090.ENSMUSP00000067694	0	0	0	0	0	0.756	0	0	0.756
Ncor1	Nr1d2	10090.ENSMUSP00000068974	10090.ENSMUSP00000088031	0	0	0	0	0	0.501	0	0	0.501
Ncor1	Nr6a1	10090.ENSMUSP00000068974	10090.ENSMUSP00000108498	0	0	0	0	0	0.688	0	0	0.688
Ncor1	Nr3c1	10090.ENSMUSP00000068974	10090.ENSMUSP00000095199	0	0	0	0	0	0.839	0	0	0.839
Ncor1	Nr1d1	10090.ENSMUSP00000068974	10090.ENSMUSP00000069505	0	0	0	0	0	0.751	0	0	0.751
Ncor2	Rarb	10090.ENSMUSP00000107033	10090.ENSMUSP00000067694	0	0	0	0	0	0.668	0	0	0.668
Ncor2	Nr1d1	10090.ENSMUSP00000107033	10090.ENSMUSP00000069505	0	0	0	0	0	0.641	0	0	0.641
Ncor2	Nr1d2	10090.ENSMUSP00000107033	10090.ENSMUSP00000088031	0	0	0	0	0	0.501	0	0	0.501
Ncor2	Nr3c1	10090.ENSMUSP00000107033	10090.ENSMUSP00000095199	0	0	0	0	0	0.749	0	0	0.749
Ncor2	Nr6a1	10090.ENSMUSP00000107033	10090.ENSMUSP00000108498	0	0	0	0	0	0.688	0	0	0.688
Smarca4	Nkx2-5	10090.ENSMUSP00000015723	10090.ENSMUSP00000034707	0	0	0	0	0	0.524	0	0	0.524
Trp53bp1	Nr2c2	10090.ENSMUSP00000109087	10090.ENSMUSP00000106278	0	0	0	0	0	0.427	0	0	0.426
Pias1	Stat1	10090.ENSMUSP00000096248	10090.ENSMUSP00000066743	0	0	0	0	0	0.447	0	0	0.447
Smarca4	Rbpj	10090.ENSMUSP00000040694	10090.ENSMUSP00000034707	0	0	0	0	0	0.517	0	0	0.517
Runx1t1	Tcf3	10090.ENSMUSP00000006761	10090.ENSMUSP00000100979	0	0	0	0	0	0.645	0	0	0.645
