Gene_symbol,Chrom,CDS_Begin,CDS_End,MGI_lethal,IMPC,EG,NLG,RVIS_ExAc_score,RVIS_ExAc_perc,pLI_score,pLI_perc,HGMD_tag,OMIM_disorder
A1BG,19,58345178,58353499,N,.,N,N,-0.225611996,33.99317011,9.06E-05,72.2,.,.
A1CF,10,50799409,50885675,Y,Viable,N,Y,-0.881260137,9.93227991,0.003619701,59.5,.,.
A2M,12,9067664,9116229,N,Viable,N,Y,-0.311376616,28.82444869,0.000540115,66.8,DM,.
A2ML1,12,8822472,8887001,N,.,N,N,1.775537977,98.13046246,1.33E-22,99.1,.,.
A3GALT2,1,33306766,33321098,N,.,N,N,.,.,6.50E-07,83.3,.,.
A4GALT,22,42692121,42721298,N,.,N,Y,-0.332568014,27.61474793,0.111598718,42.5,DM,"[Blood group, P1Pk system, p phenotype], 111400 (3); [Blood group, P1Pk system, P(2) phenotype], 111400 (3); NOR polyagglutination syndrome, 111400 (3)"
A4GNT,3,138123718,138132387,N,.,N,Y,0.686086614,86.55437865,0.598408702,27.5,FTV,.
AAAS,12,53307456,53324864,N,.,N,Y,-0.197362146,35.68327835,4.54E-10,91.8,DM,"Achalasia-addisonianism-alacrimia syndrome, 231550 (3)"
AACS,12,125065379,125143333,N,.,N,N,0.947249024,91.97198588,4.25E-12,94.7,.,.
AADAC,3,151814037,151828488,N,.,N,N,0.385001656,75.16930023,0.000181834,70.1,DM?,.
AADACL2,3,151733916,151761339,N,.,N,N,0.416927285,76.69155525,1.78E-08,88.3,DM?,.
AADACL3,1,12716115,12728759,N,.,N,N,0.794959429,89.10690513,0.000156334,70.5,.,.
AADACL4,1,12644547,12667086,N,.,N,N,0.048322504,53.28471378,0.000547686,66.8,.,.
AADAT,4,170060222,170091699,N,.,N,Y,-0.53817717,18.67222319,0.250802295,37.1,.,.
AAED1,9,96639577,96655303,N,.,N,N,0.860434959,90.37448631,9.51E-08,86.2,.,.
AAGAB,15,67201033,67255195,N,.,N,N,-0.040907923,46.57058517,0.008102073,55.8,DM,"Keratoderma, palmoplantar, punctate type IA, 148600 (3)"
AAK1,2,69457997,69674349,N,.,N,N,-0.342789861,27.12855241,0.999320421,5.5,.,.
AAMDC,11,77821109,77918432,N,.,N,N,0.093995484,56.69387046,0.000474347,67.2,.,.
AAMP,2,218264123,218270257,N,.,N,N,0.01161301,50.38490479,0.531201269,29.1,.,.
AANAT,17,76453351,76470117,N,.,N,N,0.522779906,81.35092898,0.013038239,53.8,DP,"{Delayed sleep phase syndrome, susceptibility to}, 614163 (3)"
