Gene/product,Gene/product name,GO class (direct),PANTHER family,Reference
Rbbp8,"retinoblastoma binding protein 8, endonuclease",transcription corepressor activity,retinoblastoma binding protein 8 pthr15107,MGI:MGI:4834177|GO_REF:0000096
Calcoco1,calcium binding and coiled coil domain 1,transcription coregulator activity,family not named pthr31915,MGI:MGI:4834177|GO_REF:0000096
Calcoco1,calcium binding and coiled coil domain 1,transcription coactivator activity,family not named pthr31915,MGI:MGI:4834177|GO_REF:0000096
Calcoco1,calcium binding and coiled coil domain 1,transcription coactivator activity,family not named pthr31915,MGI:MGI:3530629|PMID:14690606
Calcoco1,calcium binding and coiled coil domain 1,transcription coactivator activity,family not named pthr31915,MGI:MGI:5606145|PMID:24245781
Calcoco1,calcium binding and coiled coil domain 1,nuclear receptor coactivator activity,family not named pthr31915,MGI:MGI:4834177|GO_REF:0000096
Calcoco1,calcium binding and coiled coil domain 1,transcription coactivator activity,family not named pthr31915,PMID:21873635
Wtip,WT1-interacting protein,transcription corepressor activity,lim domain-containing protein jub pthr24219,MGI:MGI:3773767|PMID:17909014
Wtip,WT1-interacting protein,transcription corepressor activity,lim domain-containing protein jub pthr24219,PMID:21873635
Actn1,"actinin, alpha 1",nuclear receptor coactivator activity,spectrin/filamin related cytoskeletal protein pthr11915,MGI:MGI:4834177|GO_REF:0000096
Spen,spen family transcription repressor,transcription corepressor activity,rna recognition motif-containing pthr23189,MGI:MGI:4834177|GO_REF:0000096
Spen,spen family transcription repressor,transcription corepressor activity,rna recognition motif-containing pthr23189,MGI:MGI:3584225|PMID:15778499
Cnot9,"CCR4-NOT transcription complex, subunit 9",nuclear receptor coactivator activity,uncharacterized pthr12262,MGI:MGI:4834177|GO_REF:0000096
Kdm3b,KDM3B lysine (K)-specific demethylase 3B,transcription coregulator activity,jmjc domain-containing histone demethylation protein pthr12549,PMID:21873635
Kdm3a,lysine (K)-specific demethylase 3A,transcription coregulator activity,jmjc domain-containing histone demethylation protein pthr12549,MGI:MGI:3822125|PMID:17991879
Kdm3a,lysine (K)-specific demethylase 3A,transcription coregulator activity,jmjc domain-containing histone demethylation protein pthr12549,PMID:21873635
Sp4,trans-acting transcription factor 4,transcription coactivator activity,krueppel-like transcription factor pthr23235,MGI:MGI:2152098|GO_REF:0000002
Kdm2b,lysine (K)-specific demethylase 2B,transcription coregulator activity,phd/f-box containing protein pthr23123,PMID:21873635
Kdm2a,lysine (K)-specific demethylase 2A,transcription coregulator activity,phd/f-box containing protein pthr23123,PMID:21873635
Jmjd1c,jumonji domain containing 1C,transcription coregulator activity,jmjc domain-containing histone demethylation protein pthr12549,PMID:21873635
Sap30l,SAP30-like,transcription coregulator activity,sap30 pthr13286,PMID:21873635
Jmy,junction-mediating and regulatory protein,transcription coactivator activity,p300 transcriptional cofactor jmy-related pthr23330,MGI:MGI:1891484|PMID:10518217
